userId,itemIds,scores
0,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0235577821731567, 1.007615566253662, 1.0062289237976074, 0.999431312084198, 0.9854723811149597, 0.9702180027961731, 0.9638325572013855, 0.9620638489723206, 0.9592573046684265, 0.957838237285614]"
1,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.4146389961242676, 0.40623676776885986, 0.40521329641342163, 0.40225717425346375, 0.39506345987319946, 0.3878430426120758, 0.3845694065093994, 0.38290807604789734, 0.3813885748386383, 0.3811592757701874]"
2,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.3805747628211975, 0.37608572840690613, 0.3758479356765747, 0.3736063838005066, 0.36954227089881897, 0.3655362129211426, 0.3632727563381195, 0.3629298806190491, 0.36215755343437195, 0.36161378026008606]"
3,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9609965085983276, 0.9483776688575745, 0.9474599361419678, 0.9417082071304321, 0.9304332137107849, 0.9188430309295654, 0.913137674331665, 0.9118990898132324, 0.9096969962120056, 0.9083857536315918]"
4,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.6480125188827515, 0.6326243281364441, 0.6315998435020447, 0.6241320967674255, 0.6113407015800476, 0.5891541838645935, 0.5877668857574463, 0.5866917967796326, 0.585234522819519, 0.582358717918396]"
5,"[303, 282, 341, 557, 107, 2191, 458, 139, 502, 554]","[1.0233064889907837, 1.0123871564865112, 1.0123403072357178, 1.0054316520690918, 0.9954836964607239, 0.9805312752723694, 0.9785221815109253, 0.9768258929252625, 0.9767079949378967, 0.9737952351570129]"
6,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9492477774620056, 0.9318798780441284, 0.9300634860992432, 0.9233224987983704, 0.9083471298217773, 0.8926292657852173, 0.8857823610305786, 0.8830476403236389, 0.879938542842865, 0.8789911270141602]"
7,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.6988734006881714, 0.6813920140266418, 0.6801436543464661, 0.6718427538871765, 0.6573620438575745, 0.6319746375083923, 0.6305920481681824, 0.6294400691986084, 0.6277048587799072, 0.6244943141937256]"
8,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.38897600769996643, 0.38518238067626953, 0.38499715924263, 0.38310205936431885, 0.3795534074306488, 0.37704014778137207, 0.37459737062454224, 0.37406808137893677, 0.3734019696712494, 0.3730509877204895]"
9,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8180928230285645, 0.8067659139633179, 0.8057336211204529, 0.8010504841804504, 0.7909587621688843, 0.7826322913169861, 0.7767516374588013, 0.7746281027793884, 0.7726033329963684, 0.7720763683319092]"
10,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.7336184978485107, 0.717566728591919, 0.7163500189781189, 0.708940327167511, 0.6954615116119385, 0.6743886470794678, 0.6711634397506714, 0.6709153056144714, 0.6684610247612, 0.6659654378890991]"
11,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.36181578040122986, 0.35621654987335205, 0.3557049036026001, 0.3533715307712555, 0.3484576642513275, 0.3431044816970825, 0.3408929109573364, 0.3402387499809265, 0.3392568826675415, 0.33877167105674744]"
12,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.4101787507534027, 0.4021756649017334, 0.40132516622543335, 0.3982303738594055, 0.3913736343383789, 0.3836120367050171, 0.3807666003704071, 0.37965670228004456, 0.3782304525375366, 0.3777107000350952]"
13,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.6688027381896973, 0.6534695029258728, 0.6524403095245361, 0.6450226306915283, 0.6322343349456787, 0.610215425491333, 0.6087546944618225, 0.6077130436897278, 0.6062270402908325, 0.6033607721328735]"
14,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9368253946304321, 0.9182455539703369, 0.916221022605896, 0.9091622233390808, 0.893261730670929, 0.8765630125999451, 0.8693490028381348, 0.866237461566925, 0.8629010915756226, 0.862055778503418]"
15,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8462486267089844, 0.8287045359611511, 0.8267672657966614, 0.8201423287391663, 0.8051902651786804, 0.7886248826980591, 0.7823063731193542, 0.7795901298522949, 0.7764341235160828, 0.7755246162414551]"
16,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8845316767692566, 0.865173876285553, 0.8630465865135193, 0.8556991815567017, 0.839294970035553, 0.820153534412384, 0.8136672973632812, 0.810947835445404, 0.8074912428855896, 0.8063371181488037]"
17,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.1038331985473633, 1.0909563302993774, 1.0898874998092651, 1.084368348121643, 1.072607398033142, 1.064354658126831, 1.0567190647125244, 1.054133415222168, 1.0518304109573364, 1.0512280464172363]"
18,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0791372060775757, 1.0709540843963623, 1.070866584777832, 1.0661072731018066, 1.0580860376358032, 1.0525097846984863, 1.0466445684432983, 1.0461076498031616, 1.044732689857483, 1.0434472560882568]"
19,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9797588586807251, 0.9673529863357544, 0.9663604497909546, 0.960949182510376, 0.9497753977775574, 0.9399424195289612, 0.9336236715316772, 0.9317666888237, 0.9295707941055298, 0.9286520481109619]"
20,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0671346187591553, 1.055546760559082, 1.054701566696167, 1.0495017766952515, 1.03880774974823, 1.031641960144043, 1.0244067907333374, 1.0221792459487915, 1.0201257467269897, 1.019481897354126]"
21,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8726864457130432, 0.8565210700035095, 0.8546756505966187, 0.8487645387649536, 0.8348087668418884, 0.8213719725608826, 0.8146160840988159, 0.8114537000656128, 0.8085238933563232, 0.8080230355262756]"
22,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8278828859329224, 0.8144654035568237, 0.8131784200668335, 0.8077141046524048, 0.7960031628608704, 0.7839096188545227, 0.7783293724060059, 0.7764205932617188, 0.774029552936554, 0.7731212377548218]"
23,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8479419350624084, 0.8318818211555481, 0.8302043080329895, 0.8239423632621765, 0.8101515769958496, 0.7950993180274963, 0.7890498638153076, 0.7866915464401245, 0.7838338613510132, 0.7828688025474548]"
24,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.4387383460998535, 0.42837345600128174, 0.4271242022514343, 0.423421710729599, 0.41467681527137756, 0.40478530526161194, 0.4013090133666992, 0.3995685875415802, 0.397700697183609, 0.3972744941711426]"
25,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.45405837893486023, 0.44231414794921875, 0.4415473937988281, 0.435793399810791, 0.4261065423488617, 0.4083992838859558, 0.4080152213573456, 0.40693604946136475, 0.406100332736969, 0.40376967191696167]"
26,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8673088550567627, 0.8536620736122131, 0.8525372743606567, 0.8465690016746521, 0.8346479535102844, 0.8211086392402649, 0.8158049583435059, 0.8145284056663513, 0.8121455311775208, 0.8107930421829224]"
27,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0745556354522705, 1.0647337436676025, 1.0642231702804565, 1.059370756149292, 1.050047755241394, 1.0443917512893677, 1.0375683307647705, 1.0359184741973877, 1.03420090675354, 1.0334076881408691]"
28,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.703963041305542, 0.6918289661407471, 0.6907033324241638, 0.6856499314308167, 0.675142228603363, 0.663571298122406, 0.6588253378868103, 0.6573372483253479, 0.6551910638809204, 0.6542494297027588]"
29,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.5388408899307251, 0.5255828499794006, 0.5240130424499512, 0.5192202925682068, 0.5080798268318176, 0.49515438079833984, 0.4908354580402374, 0.48872071504592896, 0.48634156584739685, 0.4857448637485504]"
30,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.6505935788154602, 0.6359548568725586, 0.6346336603164673, 0.6283725500106812, 0.6160665154457092, 0.5981875061988831, 0.5946601033210754, 0.5941339731216431, 0.5916131734848022, 0.5898058414459229]"
31,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.85097336769104, 0.834784984588623, 0.8336827754974365, 0.8259607553482056, 0.8121929168701172, 0.7910944819450378, 0.7876688241958618, 0.7872457504272461, 0.7849603295326233, 0.7822619676589966]"
32,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.9036736488342285, 0.8899441957473755, 0.8889565467834473, 0.8826009035110474, 0.8705883622169495, 0.8554726243019104, 0.850675106048584, 0.850120484828949, 0.8477730751037598, 0.8459371328353882]"
33,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.7701689004898071, 0.7553834915161133, 0.7538592219352722, 0.7480459809303284, 0.7353664040565491, 0.7214215993881226, 0.7158711552619934, 0.7137485146522522, 0.7111132740974426, 0.7102066874504089]"
34,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.430287629365921, 0.42036929726600647, 0.4197402000427246, 0.4148613512516022, 0.40660154819488525, 0.3917159140110016, 0.3913334310054779, 0.3903961181640625, 0.3897206485271454, 0.38769710063934326]"
35,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.5594990253448486, 0.5506811141967773, 0.5498234033584595, 0.5462733507156372, 0.5385496616363525, 0.5304674506187439, 0.5268935561180115, 0.5256715416908264, 0.5241047739982605, 0.5234681367874146]"
36,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.44292593002319336, 0.4315977394580841, 0.4308054447174072, 0.4253823757171631, 0.4160167872905731, 0.39938655495643616, 0.39863768219947815, 0.39781489968299866, 0.39677539467811584, 0.3946559727191925]"
37,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.8354088068008423, 0.8166211843490601, 0.8154261708259583, 0.8061872124671936, 0.7905013561248779, 0.7630171775817871, 0.7616497278213501, 0.7601036429405212, 0.7585678100585938, 0.7548761367797852]"
38,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8385439515113831, 0.8219090700149536, 0.8202530741691589, 0.8135644197463989, 0.7993625998497009, 0.7821268439292908, 0.7766566872596741, 0.7748544216156006, 0.7719197273254395, 0.7705484628677368]"
39,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.864351749420166, 0.8478948473930359, 0.847057044506073, 0.8385335206985474, 0.824601411819458, 0.8007359504699707, 0.7992963194847107, 0.7976687550544739, 0.796630859375, 0.7931509017944336]"
40,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0375018119812012, 1.0199768543243408, 1.0181044340133667, 1.0114301443099976, 0.9961631894111633, 0.9821693897247314, 0.9742611646652222, 0.9708595275878906, 0.9676962494850159, 0.9670888185501099]"
41,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.0774186849594116, 1.0657074451446533, 1.0651525259017944, 1.0591754913330078, 1.0484384298324585, 1.038008213043213, 1.0319292545318604, 1.0311647653579712, 1.0291633605957031, 1.0276026725769043]"
42,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.884109616279602, 0.8677272200584412, 0.8669503331184387, 0.8583309650421143, 0.8444334864616394, 0.8206582069396973, 0.8192150592803955, 0.8174976706504822, 0.8165683746337891, 0.8130339980125427]"
43,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.5469531416893005, 0.537397563457489, 0.5367238521575928, 0.5322325825691223, 0.5240235924720764, 0.5123530626296997, 0.509665846824646, 0.5096428394317627, 0.5080275535583496, 0.5065761804580688]"
44,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[1.1240249872207642, 1.10823655128479, 1.106905460357666, 1.1001193523406982, 1.086106538772583, 1.0721708536148071, 1.0650752782821655, 1.0630443096160889, 1.0602562427520752, 1.0589548349380493]"
45,"[303, 341, 282, 557, 107, 2191, 458, 502, 139, 554]","[0.653526782989502, 0.6373533010482788, 0.6362917423248291, 0.6283885836601257, 0.6149969100952148, 0.5907265543937683, 0.5901007056236267, 0.5886409878730774, 0.5874612331390381, 0.5842440724372864]"
46,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.8458980917930603, 0.8334107398986816, 0.8323282599449158, 0.8269861340522766, 0.8159750699996948, 0.8049856424331665, 0.799399197101593, 0.797730028629303, 0.7955344319343567, 0.7945699095726013]"
47,"[303, 341, 282, 557, 107, 2191, 502, 458, 139, 554]","[0.48910024762153625, 0.47822028398513794, 0.4770440459251404, 0.4728764593601227, 0.4636750817298889, 0.4527004063129425, 0.4491538405418396, 0.4477146565914154, 0.4457733929157257, 0.44507676362991333]"
